Author,Title,Journal,Year,Volume,Number,Pages,Month,Abstract,Publisher,Address,Type,Language,Affiliation,DOI,ISSN,EISSN,Keywords,Areas,Categories,entry_type,citation_key,Editor,Booktitle,Series,Note,ISBN,Plus,Organization,Affiliations,References,Cited,days,2013,ISO,Index,ID,DA,Numbers,Acknowledgement,Text,EarlyAccessDate,OA
"Birthriya, Santosh Kumar and Ahlawat, Priyanka and Jain, Ankit Kumar",Detection and prevention of spear phishing attacks: A comprehensive    survey,COMPUTERS \& SECURITY,2025,151,104317,,APR,"The spear phishing is yet a great cybersecurity problem, and hackers use    more sophisticated methods in their attacks. This study gives a holistic    analysis of detection and prevention methods that are supported by    examples in real time. The research has analyzed various spear phishing    techniques which include email spoofing, social engineering, malware,    whaling attacks. Detection techniques including signature-based,    anomaly-based machine learning and hybrid approaches are examined herein    with an emphasis on their strengths and weaknesses. User awareness    training, email authentication, filtering, incident response planning    and multifactor authentication were identified as important strategies    to try out. A structured overview of the field is provided through    systematic taxonomy for classification of these methods. The survey also    considers legal frameworks and institutional policies that often go    unnoticed regarding spear phishing prevention by incorporating    perspectives from penal jurisprudence and criminology to bridge    technical and legal approaches. Other critical challenges that have been    identified include changing nature of spear phishing tactics; detection    evasion; integration of artificial intelligence (AI) into cyber security    defenses among others. Henceforth it offers insights into these    challenges while proposing open research questions aimed at guiding    future research initiatives coupled with encouraging collaborations    between academia industry policy makers. Such contributions will help    develop more effective adaptive strategies against this persistent    threat.",ELSEVIER ADVANCED TECHNOLOGY,"OXFORD FULFILLMENT CENTRE THE BOULEVARD, LANGFORD LANE, KIDLINGTON,    OXFORD OX5 1GB, OXON, ENGLAND",Article,English,"Jain, AK (Corresponding Author), Natl Inst Technol Kurukshetra, Kurukshetra, India.    Birthriya, Santosh Kumar; Ahlawat, Priyanka; Jain, Ankit Kumar, Natl Inst Technol Kurukshetra, Kurukshetra, India.",10.1016/j.cose.2025.104317,0167-4048,1872-6208,Spear phishing; Social engineering; Email authentication; Cybersecurity,Computer Science,"Computer Science, Information Systems",article,WOS:001417360800001,,,,,,FRAMEWORK,,,,,,,,,,,,,,JAN 2025,
"Zheng, Jiexin and Xu, Mudi and Li, Jianqing and Chen, Benfeng and Tan,    Zhizhong and Wang, Anyu and Zhang, Shuo and Liu, Yan and Zhang, Kevin Qi    and Zheng, Lirong and Wang, Wenyong",STALE: A Scalable and Secure Trans-Border Authentication Scheme    Leveraging Email and ECDH Key Exchange,ELECTRONICS,2025,14,2399,,JUN 12,"In trans-border data (data transferred or accessed across national    jurisdictions) exchange scenarios, identity authentication mechanisms    serve as critical components for ensuring data security and privacy    protection, with their effectiveness directly impacting the compliance    and reliability of transnational operations. However, existing identity    authentication systems face multiple challenges in trans-border    contexts. Firstly, the transnational transfer of identity data struggles    to meet the varying data-compliance requirements across different    jurisdictions. Secondly, centralized authentication architectures    exhibit vulnerabilities in trust chains, where single points of failure    may lead to systemic risks. Thirdly, the inefficiency of certificate    verification in traditional Public Key Infrastructure (PKI) systems    fails to meet the real-time response demands of globalized business    operations. These limitations severely constrain real-time identity    verification in international business scenarios. To address these    issues, this study proposes a trans-border distributed certificate-free    identity authentication framework (STALE). The methodology adopts three    key innovations. Firstly, it utilizes email addresses as unique user    identifiers combined with a Certificateless Public Key Cryptography    (CL-PKC) system for key distribution, eliminating both single-point    dependency on traditional Certificate Authorities (CAs) and the key    escrow issues inherent in Identity-Based Cryptography (IBC). Secondly,    an enhanced Elliptic Curve Diffie-Hellman (ECDH) key-exchange protocol    is introduced, employing forward-secure session key negotiation to    significantly improve communication security in trans-border network    environments. Finally, a distributed identity ledger is implemented,    using the FISCO BCOS blockchain, enabling decentralized storage and    verification of identity information while ensuring data immutability,    full traceability, and General Data Protection Regulation (GDPR)    compliance. Our experimental results demonstrate that the proposed    method exhibits significant advantages in authentication efficiency,    communication overhead, and computational cost compared to existing    solutions.",MDPI,"MDPI AG, Grosspeteranlage 5, CH-4052 BASEL, SWITZERLAND",Article,English,"Wang, WY (Corresponding Author), Macau Univ Sci \& Technol, Sch Comp Sci \& Engn, Macau 999078, Peoples R China.    Zheng, LR (Corresponding Author), Guangdong Inst Intelligence Sci \& Technol, Zhuhai 519031, Peoples R China.    Zheng, Jiexin; Xu, Mudi; Li, Jianqing; Tan, Zhizhong; Liu, Yan; Wang, Wenyong, Macau Univ Sci \& Technol, Sch Comp Sci \& Engn, Macau 999078, Peoples R China.    Zheng, Jiexin; Zhang, Kevin Qi; Zheng, Lirong, Guangdong Inst Intelligence Sci \& Technol, Zhuhai 519031, Peoples R China.    Chen, Benfeng, Hong Kong Univ Sci \& Technol Guangzhou, AI Thrust, Guangzhou 510000, Peoples R China.    Wang, Anyu, Tanka Inc, Redwood City, CA 94065 USA.    Zhang, Shuo, Huzhou Univ, Sch Informat Engn, Huzhou 313000, Peoples R China.",10.3390/electronics14122399,2079-9292,,certificateless public key cryptography; authentication; trans border;    elliptic curve Diffie-Hellman,Computer Science; Engineering; Physics,"Computer Science, Information Systems; Engineering, Electrical \&    Electronic; Physics, Applied",article,WOS:001515280700001,,,,,,,,,,,,,,,,,,,,,
IEEE,Scheme of User Privacy Protection Applied to Online Marketing,,2013,,,380-387,,"Research has shown the incredible evolution of mobile marketing and, on    the other hand, has also revealed that email marketing is still widely    used. Online marketing has evolved considerably in recent times and is    becoming a key for companies wishing to ensure their survival in the    online market. Online behavioral advertising (OBA) is a tool that has    leveraged the evolution of digital marketing, but it is causing a big    debate on the Internet. Many say that when OBA is implemented, user    privacy is seriously compromised, since the tracking of user    information, without their consent, is key to the OBA implementation.    Based on past and current needs of new marketing trends and trying to    balance the dilemma of privacy versus OBA, a scheme was developed to    safeguard user privacy, as well as allow for the continued evolution of    the OBA.",IEEE,"345 E 47TH ST, NEW YORK, NY 10017 USA",Proceedings Paper,English,"Oliveira, MDD (Corresponding Author), UFPE Fed Univ Pernambuco, CIn Ctr Informat, Recife, PE, Brazil.    Oliveira, Maria das Gracas da S.; de Queiroz, Ruy J. G. B., UFPE Fed Univ Pernambuco, CIn Ctr Informat, Recife, PE, Brazil.",10.1109/TrustCom.2013.48,2324-898X,,Marketing Online; Mobile Marketing; E-mail Marketing; Privacy; Online    Behavioral Advertising; Secutiry Tool; Privacy Scheme,Computer Science; Telecommunications,"Computer Science, Hardware \& Architecture; Computer Science, Theory \&    Methods; Telecommunications",inproceedings,WOS:000332856700050,,"2013 12TH IEEE INTERNATIONAL CONFERENCE ON TRUST, SECURITY AND PRIVACY    IN COMPUTING AND COMMUNICATIONS (TRUSTCOM 2013)",IEEE International Conference on Trust Security and Privacy in Computing    and Communications,"12th IEEE International Conference on Trust, Security and Privacy in    Computing and Communications (TrustCom), Melbourne, AUSTRALIA, JUL    16-18, 2013",978-0-7695-5022-0,,"IEEE; IEEE Comp Soc; IEEE Tech Comm Scalable Comp; Deakin Univ, Sch    Informat Technol; NSCLab; Trend Micro",,,,,,,,,,,,,,
"Zia-Ul-Mustafa, Rida and Le Minh, Hoa and Ghassemlooy, Zabih and    Zvanovec, Stanislav and Isam Younus, Othman and Li, Xicong and Pham, Anh    T.",A Novel Uplink Positioning and SVD-Based Physical Layer Security Scheme    for VLC Systems,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,2025,43,5,1706-1720,MAY,"In this paper, two techniques including uplink positioning and    multiple-input multiple output (MIMO) singular value decomposition (SVD)    beamforming are proposed and utilized to provide a novel physical layer    security (PLS) scheme for visible light communication (VLC) systems,    which much enhance the integrated location-sensing and data security    strength. The paper first develops a closed-form mathematical model for    ubiquitous uplink positioning using a single light-emitting diode with    the trilateration algorithm, considering the field-of-view constraints    due to the user's optical transmitter and access point receivers. SVD in    MIMO VLC is subsequently introduced to exploit the acquired user's    location to form a pair of public and private keys for secure data    transfer over the physical medium. The proposed system performance is    evaluated in terms of the root mean square positioning error epsilon(X    )and the achieved bit error rate (BER) for the uplink positioning and    the downlink data transmission, respectively. Results show that the    effective area of the photodiode significantly impacts epsilon(X ), with    smaller areas resulting in higher epsilon(X ). It is also observed that    the epsilon(X )directly relates to the strength of ambient light    inducing noise in the system. However, the proposed uplink positioning    is less prone to natural ambient light as compared to the traditional    downlink visible light positioning. The BER analysis of the downlink    data transmission shows that the proposed SVD-based PLS enhances the    system's confidentiality by significantly narrowing the communication    zone area by over 90\% in comparison to the zero-forcing beamforming    scheme and achieves reasonable secrecy capacity.",IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,"445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA",Article,English,"Zia-Ul-Mustafa, R (Corresponding Author), Northumbria Univ, Fac Engn \& Environm, Dept Math Phys \& Elect Engn, Opt Commun Res Grp, Newcastle Upon Tyne NE1 8ST, Northumberland, England.    Zia-Ul-Mustafa, Rida; Le Minh, Hoa; Ghassemlooy, Zabih; Li, Xicong, Northumbria Univ, Fac Engn \& Environm, Dept Math Phys \& Elect Engn, Opt Commun Res Grp, Newcastle Upon Tyne NE1 8ST, Northumberland, England.    Zvanovec, Stanislav, Czech Tech Univ, Dept Electromagnet Field, Prague 16000, Czech Republic.    Isam Younus, Othman, Univ Cambridge, Dept Engn, Elect Div, Cambridge CB2 1TN, England.    Pham, Anh T., Univ Aizu, Comp Commun Lab, Aizu Wakamatsu 9658580, Japan.",10.1109/JSAC.2025.3543491,0733-8716,1558-0008,Visible light communication; Uplink; Array signal processing; Light    emitting diodes; Accuracy; Downlink; MISO; Lighting; Jamming; Electronic    mail; Visible light positioning (VLP); physical layer security (PLS);    visible light communication (VLC); indoor positioning; singular value    decomposition (SVD),Engineering; Telecommunications,"Engineering, Electrical \& Electronic; Telecommunications",article,WOS:001490405900002,,,,,,LIGHT COMMUNICATION-SYSTEMS,,,,,,,,,,,,,,,
"Dalal, Anuj K. and Schnipper, Jeffrey L. and Poon, Eric G. and Williams,    Deborah H. and Rossi-Roh, Kathleen and Macleay, Allison and Liang,    Catherine L. and Nolido, Nyryan and Budris, Jonas and Bates, David W.    and Roy, Christopher L.",Design and implementation of an automated email notification system for    results of tests pending at discharge,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2012,19,4,523-528,JUL,"Physicians are often unaware of the results of tests pending at    discharge (TPADs). The authors designed and implemented an automated    system to notify the responsible inpatient physician of the finalized    results of TPADs using secure, network email. The system coordinates a    series of electronic events triggered by the discharge time stamp and    sends an email to the identified discharging attending physician once    finalized results are available. A carbon copy is sent to the primary    care physicians in order to facilitate communication and the subsequent    transfer of responsibility. Logic was incorporated to suppress selected    tests and to limit notification volume. The system was activated for    patients with TPADs discharged by randomly selected inpatient-attending    physicians during a 6-month pilot. They received approximately 1.6 email    notifications per discharged patient with TPADs. Eighty-four per cent of    inpatient-attending physicians receiving automated email notifications    stated that they were satisfied with the system in a brief survey (59\%    survey response rate). Automated email notification is a useful strategy    for managing results of TPADs.",B M J PUBLISHING GROUP,"BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON WC1H 9JR, ENGLAND",Article,English,"Dalal, AK (Corresponding Author), Brigham \& Womens Hosp, Dept Med, PBB B4-428,15 Francis St, Boston, MA 02115 USA.    Dalal, Anuj K.; Schnipper, Jeffrey L.; Poon, Eric G.; Williams, Deborah H.; Liang, Catherine L.; Nolido, Nyryan; Budris, Jonas; Bates, David W.; Roy, Christopher L., Brigham \& Womens Hosp, Dept Med, Boston, MA 02115 USA.    Dalal, Anuj K.; Schnipper, Jeffrey L.; Poon, Eric G.; Rossi-Roh, Kathleen; Bates, David W.; Roy, Christopher L., Partners HlthCare Inc, Boston, MA USA.    Poon, Eric G.; Macleay, Allison, Brigham \& Womens Hosp, BWH Informat Syst, Boston, MA 02115 USA.    Dalal, Anuj K.; Schnipper, Jeffrey L.; Poon, Eric G.; Bates, David W.; Roy, Christopher L., Harvard Univ, Sch Med, Boston, MA USA.",10.1136/amiajnl-2011-000615,1067-5027,,,Computer Science; Health Care Sciences \& Services; Information Science    \& Library Science; Medical Informatics,"Computer Science, Information Systems; Computer Science,    Interdisciplinary Applications; Health Care Sciences \& Services;    Information Science \& Library Science; Medical Informatics",article,WOS:000306024100006,,,,,,PATIENTS AFTER-DISCHARGE; ADVERSE EVENTS; PATIENT SAFETY; FOLLOW-UP;    COMMUNICATION; IMPACT; CARE,,,,,,,,,,,,,,,
"Cook, Debra L. and Gurbani, Vijay K. and Daniluk, Michael",Phishwish: a simple and stateless phishing filter,SECURITY AND COMMUNICATION NETWORKS,2009,2,1,29-43,JAN-FEB,"We define phishing as the practice of directing unsuspecting users to    fraudulent websites with the intent of obtaining personal information to    be used for illicit purpose by a spammer. We introduce a new    anti-phishing filter, phishwish, that has a number of advantages over    existing phishing filters: it does not need to be trained, as is the    case with Bayesian filters, nor does it consult centralized white or    blacklists to determine whether an email is suspect. Phishwish uses a    set of only 11 rules to determine the veracity of an incoming email; the    results can be used to quarantine the email or to alert the user. We    compare the performance of phishwish to SpamAssassin, a popular open    source filter, as well as the Google phishing filters accessed from the    Firefox browser. Our results indicate that phishwish outperforms    existing filters in identifying phishing emails, even identifying those    originated by the `rock phish' gang, and that it aids in detection of    zero-day attacks that were not caught by existing filters. Copyright (C)    2008 John Wiley \& Sons, Ltd.",WILEY-HINDAWI,"ADAM HOUSE, 3RD FL, 1 FITZROY SQ, LONDON, WIT 5HE, ENGLAND",Article,English,"Cook, DL (Corresponding Author), Bell Labs, Alcatel Lucent, NJ USA.    Cook, Debra L.; Gurbani, Vijay K., Bell Labs, Alcatel Lucent, NJ USA.    Daniluk, Michael, Polytech Univ, Brooklyn, NY 11201 USA.",10.1002/sec.45,1939-0114,1939-0122,phishing; email; filters,Computer Science; Telecommunications,"Computer Science, Information Systems; Telecommunications",article,WOS:000274440900003,,,,,,,,,,,,,,,,,,,,,
"Giardina, Traber D. and Shahid, Umber and Mushtaq, Umair and Upadhyay,    Divvy K. and Marinez, Abigail and Singh, Hardeep",Creating a Learning Health System for Improving Diagnostic Safety:    Pragmatic Insights from US Health Care Organizations,JOURNAL OF GENERAL INTERNAL MEDICINE,2022,37,15,3965-3972,NOV,"Objective To identify challenges and pragmatic strategies for improving    diagnostic safety at an organizational level using concepts from    learning health systems Methods We interviewed 32 safety leaders across    the USA on how their organizations approach diagnostic safety.    Participants were recruited through email and represented geographically    diverse academic and non-academic settings. The interview included    questions on culture of reporting and learning from diagnostic errors;    data gathering and analysis activities; diagnostic training and    educational activities; and engagement of clinical leadership, staff,    patients, and families in diagnostic safety activities. We conducted an    inductive content analysis of interview transcripts and two reviewers    coded all data. Results Of 32 participants, 12 reported having a    specific program to address diagnostic errors. Multiple barriers to    implement diagnostic safety activities emerged: serious concerns about    psychological safety associated with diagnostic error; lack of    infrastructure for measurement, monitoring, and improvement activities    related to diagnosis; lack of leadership investment, which was often    diverted to competing priorities related to publicly reported measures    or other incentives; and lack of dedicated teams to work on diagnostic    safety. Participants provided several strategies to overcome barriers    including adapting trigger tools to identify safety events, engaging    patients in diagnostic safety, and appointing dedicated diagnostic    safety champions. Conclusions Several foundational building blocks    related to learning health systems could inform organizational efforts    to reduce diagnostic error. Promoting an organizational culture specific    to diagnostic safety, using science and informatics to improve    measurement and analysis, leadership incentives to build institutional    capacity to address diagnostic errors, and patient engagement in    diagnostic safety activities can enable progress.",SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",Article,English,"Giardina, TD (Corresponding Author), Michael E DeBakey Vet Affairs Med Ctr MEDVAMC, Ctr Innovat Qual Effectiveness \& Safety IQuESt 15, Houston, TX 77030 USA.    Giardina, Traber D.; Shahid, Umber; Mushtaq, Umair; Marinez, Abigail; Singh, Hardeep, Michael E DeBakey Vet Affairs Med Ctr MEDVAMC, Ctr Innovat Qual Effectiveness \& Safety IQuESt 15, Houston, TX 77030 USA.    Giardina, Traber D.; Shahid, Umber; Mushtaq, Umair; Marinez, Abigail; Singh, Hardeep, Baylor Coll Med, Dept Med, Houston, TX 77030 USA.    Upadhyay, Divvy K., Geisinger, Div Qual Safety \& Patient Experience, Danville, PA USA.",10.1007/s11606-022-07554-w,0884-8734,1525-1497,patient safety; diagnostic errors; learning health systems; health care    quality; diagnostic excellence,Health Care Sciences \& Services; General \& Internal Medicine,"Health Care Sciences \& Services; Medicine, General \& Internal",article,WOS:000804494600002,,,,,,ERRORS; ALGORITHMS; PHYSICIANS; QUALITY; DELAYS,,,,,,,,,,,,,,JUN 2022,
"Diaz, Jesus and Arroyo, David and Rodriguez, Francisco B.",On securing online registration protocols: Formal verification of a new    proposal,KNOWLEDGE-BASED SYSTEMS,2014,59,,149-158,MAR,"The deployment of Internet based applications calls for adequate users    management procedures, being online registration a critical element. In    this respect, Email Based Identification and Authentication (EBIA) is an    outstanding technique due to its usability. However, it does not handle    properly some major issues which make it unsuitable for systems where    security is of concern. In this work we modify EBIA to propose a    protocol for users registration. Moreover, we assess the security    properties of the protocol using the automatic protocol verifier    ProVerif. Finally, we show that the modifications applied to EBIA are    necessary to ensure security since, if they are removed, attacks on the    protocol are enabled. Our proposal keeps the high usability features of    EBIA, while reaching a reasonable security level for many applications.    Additionally, it only requires minor modifications to current Internet    infrastructures. (C) 2014 Elsevier B.V. All rights reserved.",ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",Article,English,"Diaz, J (Corresponding Author), Univ Autonoma Madrid, Escuela Politecn Super, Dept Ingn Informat, Grp Neurocomputac Biol, E-28049 Madrid, Spain.    Diaz, Jesus; Arroyo, David; Rodriguez, Francisco B., Univ Autonoma Madrid, Escuela Politecn Super, Dept Ingn Informat, Grp Neurocomputac Biol, E-28049 Madrid, Spain.",10.1016/j.knosys.2014.01.011,0950-7051,1872-7409,Protocol security; Automated verification; EBIA; Security-by-design;    Digital identity,Computer Science,"Computer Science, Artificial Intelligence",article,WOS:000333946400015,,,,,,,,,,,,,,,,,,,,,
"HAUSER, RC and LEE, ES",REDUCING THE PROLIFERATION OF PASSWORDS IN DISTRIBUTED SYSTEMS,IFIP TRANSACTIONS A-COMPUTER SCIENCE AND TECHNOLOGY,1992,13,LD444,525-531,,"Remote commercial applications like databases, telebanking, electronic    mail systems run security mechanisms based on passwords. Too many    passwords per user become a security problem. The goal of this research    is to design systems allowing `'password-less'' user access to network    services while improving the security of existing password mechanisms.    A system relying on one primary login with one password is proposed. A    `'guard'' functionality on the user login host's side relays the    application service suppliers' password requests to a password server    which satisfies these requests with strong `'machine'' passwords. To the    user, this system appears to be password-less. Application providers do    not have to give up their current password security.    Variations of this architecture and its protocols for three levels of    increasing security are described, employing complete message traffic    encryption, public key cryptography, trusted hardware and software and    strong authentication devices like chipcards.",ELSEVIER SCIENCE BV,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",Article,English,"HAUSER, RC (Corresponding Author), UNIV ZURICH, INST INFORMAT, WINTERTHURERSTR 190, CH-8057 ZURICH, SWITZERLAND.    UNIV TORONTO, DEPT COMP SCI, TORONTO M5S 1A4, ONTARIO, CANADA.",,0926-5473,,COMPUTER-COMMUNICATION NETWORKS; NETWORK PROTOCOLS; SECURITY AND    PROTECTION; DISTRIBUTED SYSTEMS,Computer Science,"Computer Science, Information Systems; Computer Science, Theory \&    Methods",article,WOS:A1992LD44400078,,,,,,,,University of Toronto,8,0,0,0,IFIP Trans. A-Comp. Sci. Technol.,Science Citation Index Expanded (SCI-EXPANDED),WOS:A1992LD44400078,2025-07-09,,,,,
ACM,A Pilot Study of Cyber Security and Privacy Related Behavior and    Personality Traits,,2013,,,737-744,,"Recent research has begun to focus on the factors that cause people to    respond to phishing attacks as well as affect user behavior on social    networks. This study examines the correlation between the Big Five    personality traits and email phishing response. Another aspect examined    is how these factors relate to users' tendency to share information and    protect their privacy on Facebook (which is one of the most popular    social networking sites).    This research shows that when using a prize phishing email, neuroticism    is the factor most correlated to responding to this email, in addition    to a gender-based difference in the response. This study also found that    people who score high on the openness factor tend to both post more    information on Facebook as well as have less strict privacy settings,    which may cause them to be susceptible to privacy attacks. In addition,    this work detected no correlation between the participants estimate of    being vulnerable to phishing attacks and actually being phished, which    suggests susceptibility to phishing is not due to lack of awareness of    the phishing risks and that real-time response to phishing is hard to    predict in advance by online users.    The goal of this study is to better understand the traits that    contribute to online vulnerability, for the purpose of developing    customized user interfaces and secure awareness education, designed to    increase users' privacy and security in the future.",ASSOC COMPUTING MACHINERY,"1515 BROADWAY, NEW YORK, NY 10036-9998 USA",Proceedings Paper,English,"Halevi, T (Corresponding Author), NYU, Polytech Inst, MetroTech Ctr 6, Elect \& Comp Engn, Brooklyn, NY 11201 USA.    Halevi, Tzipora, NYU, Polytech Inst, MetroTech Ctr 6, Elect \& Comp Engn, Brooklyn, NY 11201 USA.    Lewis, James, NYU, Polytech Inst, MetroTech Ctr 6, Technol Culture \& Soc, Brooklyn, NY 11201 USA.    Memon, Nasir, NYU, Polytech Inst, MetroTech Ctr 6, Comp Sci, Brooklyn, NY 11201 USA.",,,,Facebook; Privacy; Phishing; Personality traits,Computer Science,"Computer Science, Information Systems; Computer Science,    Interdisciplinary Applications; Computer Science, Theory \& Methods",inproceedings,WOS:000722374300202,,PROCEEDINGS OF THE 22ND INTERNATIONAL CONFERENCE ON WORLD WIDE WEB    (WWW'13 COMPANION),,"22nd International Conference on World Wide Web (WWW), Rio de Janeiro,    BRAZIL, MAY 13-17, 2013",978-1-4503-2038-2,FACEBOOK; MODEL,,,,,,,,,,,,,,,
"Schupbach, Ryan R. and Sparrow, Nicholas D. and Miller, Michael J. and    Harrison, Donald L.",Participant perspectives from the Indian Health Service Anticoagulation    Training Program,INTERNATIONAL JOURNAL OF CLINICAL PHARMACY,2013,35,6,1091-1098,DEC,"Background The Indian Health Service Anticoagulation Training Program    serves to improve patient safety through advanced anticoagulation    management training. Although post-program evaluations of program    content were conducted at the time of program delivery, little is known    about translation of these learned skills into clinical practice.    Objective This research sought to describe levels of self-reported    participant confidence in anticoagulation management; development,    implementation, and performance management of both core and supplemental    activities of anticoagulation clinics or services; and current    anticoagulation clinical practices subsequent to participating in the    Anticoagulation Training Program. Setting A federal Indian Health    Service healthcare facility in Oklahoma, USA. Methods A cross-sectional,    electronic mail survey was designed, pretested, and administered to 267    eligible Anticoagulation Training Program participants from 1999 to    2009. Data were analyzed using descriptive statistics and interpreted to    identify areas of strength and opportunities for improvement. Main    outcome measures Information about confidence in anticoagulation    management skills; development, implementation and improvement of both    core and supplemental activities of anticoagulation clinics or services;    and current anticoagulation clinical practices was collected. Results    After training, over 90 \% of participants reported agreement/strong    agreement with statements about confidence in performing patient-care    related anticoagulation activities. A smaller proportion (83.3-85.4 \%)    reported agreement/strong agreement with confidence in measuring,    analyzing and reporting anticoagulation outcomes. Improvement activities    were more common than development or implementation activities (65.4,    31.9 and 35.1 \%, respectively). Not having well established    reimbursement procedures, lack of dedicated clinic space, and lack of    dedicated personnel salaries (47.3, 38.3 and 32.6 \%, respectively) were    reported as the most common barriers to developing, implementing or    improving an anticoagulation clinic. Participants indicated that    anticoagulation outcomes tracking was the most common supplemental    development, implementation and improvement activity (37.9, 37.0 and    43.8 \% respectively). Benchmarking was the least commonly reported    outcomes-related activity by participants (33.6 \%). Although there was    only a modest gain in the number of established anticoagulation clinics    after attending the Anticoagulation Training Program, approximately 21    \% of participants reported using skills learned to establish other    disease state management clinics. Conclusion In general, a majority of    participants reported high levels of confidence related to direct    patient care activities after attending the Anticoagulation Training    Program. However there is a need to raise confidence in performance    improvement and outcomes management activities to align with current    accreditation standards in anticoagulation management as the    Anticoagulation Training Program evolves.",SPRINGER,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",Article,English,"Schupbach, RR (Corresponding Author), Claremore Comprehens Hlth Care Facil, 101 South Moore Ave, Claremore, OK 74017 USA.    Schupbach, Ryan R., Claremore Comprehens Hlth Care Facil, Claremore, OK 74017 USA.    Schupbach, Ryan R.; Miller, Michael J., Univ Oklahoma, Coll Pharm, Tulsa, OK 74135 USA.    Sparrow, Nicholas D., Peach Springs Hlth Ctr, Peach Springs, AZ 86434 USA.    Harrison, Donald L., Univ Oklahoma, Coll Pharm, Oklahoma City, OK 73117 USA.",10.1007/s11096-013-9826-4,2210-7703,2210-7711,Anticoagulation Training Program; Anticoagulant education program;    United States,Pharmacology \& Pharmacy,Pharmacology \& Pharmacy,article,WOS:000328208800010,,,,,,SELF-EFFICACY; ERRORS; DRUG,,,,,,,,,,,,,,,
IEEE,Investigating the Fractal Nature of Individual User Netflow Data,,2014,,,,,"Modeling and characterizing Internet traffic has been a widely studied    problem since the conception of the Internet. The self-similar, bursty    nature of the traffic has led to a number of conventional statistical    models that unfortunately provide relatively weak modeling power.    Recently, fractal analysis techniques have emerged to better    characterize and model Internet traffic data. However, past research    studies have focused on describing and quantifying the fractal nature of    Internet traffic on user groups, instead of a single user. In this paper    the authors investigate the issue of individual users exhibiting fractal    (self-similar behavior) behavior across multiple application types.    Using real Internet traffic traces (collected via Net-Flow logs)    collected at a college campus for 30 days, our investigations reveal    that in a number of application categories (http, chatting, p2p, email    etc.) at least one user exhibits long-range correlations typical of    fractal behavior. Of the 10 application groups, 7 had over 80\% of users    demonstrating self-similar behavior with 3 of those groups having >    98\%. Potential benefits of our study in the realm of smart health and    network security, by reducing the dimensionality of large Internet    traffic datasets, are discussed.",IEEE,"345 E 47TH ST, NEW YORK, NY 10017 USA",Proceedings Paper,English,"Malott, L (Corresponding Author), Missouri Univ Sci \& Technol, Dept Comp Sci, Rolla, MO 65401 USA.    Malott, Levi; Chellappan, Sriram, Missouri Univ Sci \& Technol, Dept Comp Sci, Rolla, MO 65401 USA.",,,,,Computer Science; Telecommunications,"Computer Science, Hardware \& Architecture; Telecommunications",inproceedings,WOS:000363326300108,,2014 23RD INTERNATIONAL CONFERENCE ON COMPUTER COMMUNICATION AND    NETWORKS (ICCCN),,"23rd International Conference on Computer Communication and Networks    (ICCCN), Shanghai, PEOPLES R CHINA, AUG 04-07, 2014",978-1-4799-3572-7,,IEEE; Tongji Univ; NSF,,,,,,,,,,,,,,
